Feature,Mean_XGB_Importance,SD_XGB_Importance,Mean_SHAP,SD_SHAP
Chrom_BalabanJ,0.015583344,0.0033391211,0.07117125,0.0072195535
Chrom_BCUT2D_CHGLO,0.022777928,0.0045533883,0.05423826,0.0038575905
Chrom_MaxPartialCharge,0.009910064,0.0017231896,0.050193172,0.005252001
Chrom_PEOE_VSA8,0.013247537,0.0012950824,0.04771388,0.0032814716
Chrom_MolWt,0.019813398,0.002084827,0.047432147,0.006555068
Chrom_MinEStateIndex,0.010413626,0.0026527396,0.041350927,0.005839599
Chrom_VSA_EState7,0.013090529,0.0020070125,0.03588882,0.003084522
Chrom_SMR_VSA3,0.0052164393,0.0005689463,0.029443283,0.0038180996
Chrom_BCUT2D_CHGHI,0.0037826162,0.00073557254,0.028665904,0.0035068493
Chrom_fr_azo,0.21924396,0.023688849,0.0253612,0.0051918277
Chrom_fr_allylic_oxid,0.00962763,0.0011683978,0.024064148,0.0035928367
Chrom_fr_NH0,0.028275644,0.008388963,0.02165447,0.0035177697
Chrom_fr_para_hydroxylation,0.011307727,0.0035712253,0.021099813,0.0025411376
Chrom_SMR_VSA6,0.013435406,0.006672066,0.020913556,0.0020726414
Chrom_VSA_EState2,0.0058783405,0.0014837381,0.020722369,0.0047882176
Chrom_EState_VSA8,0.0041359724,0.0009038902,0.020504246,0.002339862
Chrom_BCUT2D_MWHI,0.0049360413,0.0006573336,0.019371364,0.0019545213
Chrom_SlogP_VSA8,0.004756869,0.00096990325,0.019334335,0.0026514302
Chrom_PEOE_VSA10,0.006790952,0.00059167366,0.019269215,0.0022064627
Chrom_fr_pyridine,0.005230575,0.0011926744,0.016181905,0.0014395431
Chrom_BCUT2D_LOGPHI,0.003289525,0.00048190684,0.015725795,0.0020547842
Chrom_BCUT2D_MWLOW,0.005551141,0.0007960978,0.014574905,0.0009421713
Chrom_PEOE_VSA12,0.0032479535,0.0006464954,0.0142446635,0.001160376
Chrom_VSA_EState3,0.0024992945,0.0004998282,0.0139135765,0.0024559903
Chrom_SlogP_VSA1,0.003428612,0.0004995251,0.013016835,0.0027972353
Chrom_VSA_EState8,0.0047950316,0.001349615,0.012784824,0.0025020111
Chrom_SMR_VSA9,0.0038263309,0.0008225756,0.012640707,0.00079389085
Chrom_SlogP_VSA11,0.0026106252,0.0016850549,0.012587684,0.0032561729
Chrom_fr_hdrzone,0.025153914,0.006087033,0.012132406,0.0028501954
Chrom_SMR_VSA10,0.0032647685,0.00046481192,0.011108804,0.0014810981
Chrom_EState_VSA3,0.002168613,0.00066280074,0.010281359,0.0012076203
Chrom_SlogP_VSA2,0.002690867,0.00036655436,0.010084633,0.0016971605
Chrom_BCUT2D_MRLOW,0.0030118644,0.00038566158,0.0100814905,0.0018983277
Chrom_EState_VSA2,0.0022675104,0.0008434545,0.00999197,0.0019476842
Chrom_MaxEStateIndex,0.0039734687,0.0015257753,0.009874037,0.0024306984
Chrom_SMR_VSA4,0.05631243,0.019035423,0.009156233,0.0028886227
Chrom_qed,0.0048857494,0.0010408652,0.009142323,0.0024620541
Chrom_SlogP_VSA3,0.007190197,0.0019348986,0.0090996325,0.0015299506
Chrom_VSA_EState9,0.0029481337,0.00039452175,0.008621491,0.0018626122
Solv_MinAbsEStateIndex,0.0040879003,0.0010526933,0.008386271,0.0024426223
Chrom_MinAbsEStateIndex,0.0023695624,0.0005664553,0.008347064,0.0028927766
Chrom_FractionCSP3,0.006242682,0.0012500751,0.008085011,0.0011024376
Chrom_fr_bicyclic,0.0038283826,0.0006048304,0.008066593,0.0017209479
Chrom_fr_imidazole,0.0052430956,0.00029859657,0.0077657923,0.0011914355
Solv_BCUT2D_MRHI,0.020462057,0.0058158347,0.0077652866,0.0010345819
Chrom_MinPartialCharge,0.0061722817,0.004844113,0.007477723,0.0017388493
Chrom_PEOE_VSA9,0.0024508962,0.0002801356,0.007429196,0.0011485413
Chrom_EState_VSA5,0.0042480854,0.00074680435,0.0073082717,0.002045868
Chrom_TPSA,0.0061636274,0.0037642433,0.0063285395,0.0014034794
Chrom_PEOE_VSA4,0.0056105,0.0011593006,0.006247417,0.0011884376
Chrom_fr_thiazole,0.016634185,0.0038007516,0.005960986,0.001091745
Chrom_fr_ketone,0.008906044,0.0020435732,0.005928474,0.0011323153
Chrom_SlogP_VSA10,0.0033364662,0.0011100975,0.0058580954,0.0016905445
Chrom_FpDensityMorgan1,0.0034008739,0.0005688986,0.005671584,0.0011633765
Chrom_PEOE_VSA5,0.0070904777,0.0036382054,0.005611412,0.001766423
Solv_MolWt,0.011278943,0.005312133,0.0053917663,0.0022678848
Chrom_EState_VSA7,0.0029851152,0.0011085039,0.0051947935,0.0010307811
Chrom_VSA_EState5,0.00564964,0.001255683,0.005169914,0.0014591926
Chrom_fr_sulfonamd,0.014394437,0.0055899695,0.0050689294,0.0015351262
Chrom_PEOE_VSA3,0.005555334,0.002037816,0.005030325,0.0016188194
Chrom_EState_VSA6,0.003131877,0.0005702253,0.0047953352,0.0014614026
Chrom_EState_VSA4,0.0034524924,0.00042640095,0.004763259,0.0013459362
Solv_Kappa3,0.009189802,0.0024252464,0.0044708396,0.001941893
Chrom_NumAromaticHeterocycles,0.0030647493,0.00044097457,0.004358259,0.0017560907
Chrom_SlogP_VSA12,0.0065051257,0.0025123565,0.004112994,0.001941288
Chrom_EState_VSA9,0.0036665313,0.00057680625,0.003995678,0.0010381883
Chrom_VSA_EState4,0.003408885,0.0012289195,0.0039916434,0.0026185045
Chrom_SMR_VSA1,0.011641564,0.0047218273,0.0038742062,0.0017356256
Solv_Kappa2,0.004391822,0.0019792556,0.0037553974,0.0016826427
Chrom_VSA_EState10,0.002134575,0.0005339427,0.003557821,0.0005459543
Chrom_SMR_VSA5,0.0031773169,0.00089344,0.0034014434,0.0011512073
Chrom_SlogP_VSA4,0.0026100453,0.00052857504,0.0033620067,0.001093277
Chrom_PEOE_VSA2,0.0038698844,0.0014783347,0.0032844536,0.00072939636
Chrom_PEOE_VSA11,0.0031437282,0.001195991,0.0032446664,0.0012752507
Solv_qed,0.012293661,0.00517918,0.0029924081,0.0010750011
Chrom_EState_VSA1,0.003773306,0.0034068348,0.0028181516,0.0012701032
Chrom_PEOE_VSA13,0.010307667,0.012582185,0.0027692863,0.0011295392
Chrom_NumAliphaticCarbocycles,0.0036556055,0.00085736334,0.002657887,0.00076478487
Solv_MinAbsPartialCharge,0.0083237495,0.0025706296,0.0026535653,0.0011217933
Chrom_PEOE_VSA1,0.006023452,0.0046969685,0.0025559699,0.0014057196
Chrom_fr_oxazole,0.0070496025,0.0020601025,0.0025375863,0.00066916895
Chrom_NumSaturatedHeterocycles,0.009759238,0.003391692,0.0023559344,0.0007566671
Chrom_fr_morpholine,0.003949876,0.001426848,0.0022228123,0.0006856232
Chrom_fr_furan,0.0058471286,0.0011823506,0.0021373667,0.0004190328
Chrom_EState_VSA10,0.004249374,0.0056499224,0.0019371833,0.0015477202
Chrom_fr_Ar_NH,0.0037935781,0.0010969167,0.0018443062,0.0006480436
Solv_MaxEStateIndex,0.0017679352,0.00045186846,0.0017719984,0.0010861496
Chrom_NumSaturatedRings,0.0038601179,0.002890661,0.0017434657,0.0015090256
Chrom_fr_aryl_methyl,0.0025915077,0.00079395785,0.001719531,0.00065481523
Solv_BCUT2D_MWHI,0.0030707018,0.0013328679,0.0016565763,0.0012814285
Chrom_fr_Al_COO,0.0018707456,0.00049671484,0.0016514007,0.0005131616
Chrom_fr_aniline,0.0033163603,0.0011965873,0.0015797315,0.00077850965
Chrom_fr_ester,0.0056501953,0.004455413,0.0015696209,0.00065323996
Chrom_fr_Ar_OH,0.011871554,0.010688324,0.0015488183,0.0010539731
Chrom_fr_Ndealkylation1,0.0016969463,0.00049124664,0.0014935381,0.00047196326
Chrom_NHOHCount,0.0067070588,0.010533247,0.0013045181,0.00042625476
Chrom_fr_lactone,0.0034662026,0.0010410417,0.0012197053,0.00059101434
Solv_SMR_VSA5,0.0017464587,0.00051243906,0.0012090383,0.0007740318
Solv_BCUT2D_MWLOW,0.0017908234,0.00079421554,0.0011574148,0.00096331263
Chrom_fr_Imine,0.0022139354,0.0014516293,0.0011549096,0.0007138865
Chrom_PEOE_VSA14,0.0025176809,0.0020170587,0.0011145269,0.0007211556
Solv_MinPartialCharge,0.0028159474,0.0023234144,0.0011068587,0.00049163966
Solv_BCUT2D_CHGHI,0.008521685,0.00980394,0.0010392807,0.00086825545
Solv_MaxPartialCharge,0.0029958931,0.0016915229,0.00094045175,0.00061284064
Chrom_SlogP_VSA7,0.0024904206,0.0007941033,0.00093229546,0.00043723293
Solv_VSA_EState8,0.0019481141,0.00093520584,0.0008917799,0.0006299781
Solv_SMR_VSA6,0.0014182453,0.00094920717,0.0008509598,0.0007751582
Chrom_NumAliphaticHeterocycles,0.002653723,0.00079258054,0.00083751214,0.00038035173
Solv_MinEStateIndex,0.0024861267,0.0016834098,0.00082243717,0.0009655573
Chrom_fr_Ar_COO,0.0013839266,0.0006661343,0.00079489907,0.0004142544
Solv_BalabanJ,0.0022869653,0.00087210233,0.0007900499,0.00039252482
Solv_PEOE_VSA6,0.0017472033,0.0010329495,0.0007505214,0.00045604623
Solv_EState_VSA4,0.010726445,0.010905152,0.0007344386,0.00045213557
Chrom_fr_ArN,0.002180914,0.0017257665,0.00073349517,0.0005841528
Chrom_fr_quatN,0.0024198045,0.0008019217,0.0006918072,0.00057720114
Solv_NumHDonors,0.00518227,0.002898512,0.00068555604,0.0005753513
Solv_BertzCT,0.0017062944,0.00041625515,0.00064436335,0.00051044254
Solv_FpDensityMorgan1,0.0017055,0.00033752553,0.0006293383,0.00020998593
Solv_Ipc,0.0020048618,0.0007289751,0.0005181153,0.00038204138
Chrom_fr_NH1,0.002825581,0.0023361978,0.00049737404,0.00047957516
Solv_VSA_EState3,0.001283699,0.00085883396,0.0004103844,0.0004072621
Solv_FractionCSP3,0.0011299255,0.0011029248,0.00040955414,0.00036894955
Chrom_fr_Al_OH_noTert,0.0010999494,0.00088943366,0.0003960176,0.0003525537
Solv_PEOE_VSA9,0.0014574074,0.0013196609,0.00031766688,0.00047845952
Chrom_fr_amide,0.0013209988,0.0009861934,0.00026478307,0.00019712785
Solv_BCUT2D_MRLOW,0.0019149419,0.0013956169,0.00022919876,0.00021016413
Solv_PEOE_VSA7,0.0014502766,0.0013574369,0.0002248324,0.00023109221
Chrom_fr_methoxy,0.00069513253,0.00086128747,0.00019670671,0.0003269827
