Feature,Mean_XGB_Importance,SD_XGB_Importance,Mean_SHAP,SD_SHAP
Chrom_NumAliphaticHeterocycles,0.17665516,0.03123883,26.443848,1.3602287
Chrom_SMR_VSA10,0.017549982,0.0030646287,13.7358,0.6431922
Chrom_fr_allylic_oxid,0.048050694,0.009452658,11.710417,0.9899412
Chrom_MaxPartialCharge,0.022913938,0.010279757,11.301008,1.7905926
Chrom_PEOE_VSA8,0.019339334,0.003974701,8.593986,0.8011335
Chrom_SlogP_VSA8,0.0052574617,0.0010169423,4.99473,0.64844745
Chrom_BCUT2D_LOGPHI,0.011424156,0.0022021697,4.549118,0.39393914
Chrom_qed,0.010470688,0.0018186152,4.5117216,0.40655985
Chrom_SlogP_VSA10,0.01925559,0.0043119923,4.2768617,0.43761384
Chrom_fr_NH0,0.023748387,0.003830219,4.1568847,0.4193541
Chrom_fr_bicyclic,0.01005537,0.0033754406,4.132196,0.7783865
Chrom_SlogP_VSA1,0.00936343,0.0018035771,4.0688634,0.4447024
Chrom_BCUT2D_MRLOW,0.011765792,0.0021901357,3.9022527,0.5458782
Chrom_BCUT2D_CHGLO,0.0025721802,0.00047766932,3.782292,0.3486071
Chrom_BCUT2D_MWLOW,0.0027720178,0.00062044227,3.677686,0.40868592
Chrom_PEOE_VSA10,0.008492078,0.0014575078,3.4775414,0.34111542
Chrom_VSA_EState8,0.004009825,0.0014097374,3.4311366,0.39263573
Chrom_EState_VSA4,0.004688275,0.0011800143,3.0426943,0.4757407
Chrom_BalabanJ,0.0018924947,0.00031176925,2.9156673,0.23369926
Chrom_EState_VSA11,0.19600096,0.12080629,2.8638744,1.7133949
Chrom_MaxEStateIndex,0.009485447,0.007306758,2.802387,0.48961848
Chrom_SMR_VSA6,0.007429698,0.0034487087,2.6149163,0.48246738
Chrom_NumAliphaticCarbocycles,0.0031401827,0.001084264,2.5942636,0.3438496
Chrom_MinAbsEStateIndex,0.0016418602,0.00027614203,2.5773747,0.33550817
Chrom_MinEStateIndex,0.0059832265,0.002648707,2.512092,0.4398608
Chrom_fr_para_hydroxylation,0.0025005569,0.0006619973,2.4811926,0.26341167
Chrom_SMR_VSA3,0.0042498573,0.0007531309,2.4700415,0.4842173
Chrom_VSA_EState3,0.0021793111,0.000478105,2.3919792,0.45331514
Chrom_PEOE_VSA12,0.011471689,0.0020531176,2.3078074,0.29530463
Chrom_fr_imidazole,0.0142597435,0.0023602548,2.210326,0.1861056
Chrom_EState_VSA1,0.0033963597,0.00056337885,2.0705094,0.42302784
Chrom_BCUT2D_CHGHI,0.0027347147,0.0012410969,2.010469,0.8157456
Chrom_VSA_EState5,0.0028820396,0.00067473785,1.9845772,0.1529097
Chrom_VSA_EState7,0.0023045235,0.00077973737,1.9824951,0.43113604
Chrom_PEOE_VSA11,0.0037726029,0.0013912697,1.9676771,0.41284448
Chrom_PEOE_VSA9,0.0018098496,0.0003768545,1.965208,0.18582644
Chrom_MinPartialCharge,0.0052753543,0.0011685172,1.9547529,0.23475777
Chrom_SMR_VSA9,0.002287456,0.0003993246,1.9452345,0.3636762
Chrom_VSA_EState4,0.001794115,0.00030251622,1.9188646,0.3045315
Chrom_MolWt,0.010685966,0.004960072,1.9080206,0.69745106
Chrom_FractionCSP3,0.0016662279,0.00028880982,1.8763784,0.32278112
Chrom_BCUT2D_MWHI,0.0015141991,0.00033706505,1.8476986,0.28724167
Chrom_TPSA,0.002258928,0.0010131684,1.8234469,0.35600546
Chrom_VSA_EState9,0.003226487,0.0008730047,1.5420157,0.10672931
Chrom_fr_Ar_NH,0.010030664,0.0021412275,1.4833326,0.20251386
Chrom_PEOE_VSA2,0.006463472,0.0032502671,1.4213333,0.43618935
Chrom_SMR_VSA5,0.0017936833,0.0004948571,1.3822343,0.36473083
Chrom_SlogP_VSA2,0.0033154679,0.0008795953,1.3340049,0.24553832
Chrom_fr_azo,0.00658682,0.0014931539,1.2780855,0.20461902
Chrom_PEOE_VSA3,0.0028065913,0.00034051295,1.2570525,0.27345163
Chrom_SMR_VSA1,0.0017011696,0.00071807095,1.2009962,0.31489417
Chrom_VSA_EState10,0.00337161,0.0014031787,1.1530547,0.25715607
Chrom_fr_amide,0.004256571,0.0013034777,1.1130884,0.26970518
Chrom_fr_nitro,0.0063759224,0.0012336434,1.0644121,0.09881996
Chrom_PEOE_VSA5,0.003156038,0.0008960659,1.0467076,0.13842759
Chrom_PEOE_VSA14,0.006458658,0.00213456,1.043248,0.22599897
Chrom_fr_aniline,0.011913142,0.0070445556,1.0407526,0.30501083
Chrom_EState_VSA3,0.0047928067,0.0029921192,0.93576115,0.39530653
Chrom_EState_VSA5,0.001189254,0.00027357406,0.92932874,0.19057864
Chrom_SlogP_VSA4,0.009866102,0.0029723244,0.9145751,0.24481396
Chrom_EState_VSA8,0.0023699924,0.0006614288,0.8815862,0.20409402
Chrom_PEOE_VSA1,0.002450605,0.0023641936,0.82584876,0.17493284
Chrom_FpDensityMorgan1,0.0015393621,0.0004026399,0.8140615,0.18259554
Chrom_fr_Imine,0.0097618345,0.0027359116,0.7901548,0.1528765
Chrom_EState_VSA2,0.0008262166,0.00018522739,0.7519572,0.31025943
Chrom_SMR_VSA2,0.005758521,0.0031639852,0.6960465,0.27426335
Chrom_NumSaturatedHeterocycles,0.0032021287,0.0014577156,0.6825985,0.16040134
Chrom_VSA_EState2,0.0015083358,0.00059910014,0.6696025,0.15050197
Chrom_NumAromaticHeterocycles,0.0067415475,0.0035728368,0.6117412,0.21246299
Chrom_PEOE_VSA4,0.0035091557,0.0011320984,0.52708745,0.1680405
Solv_MinAbsEStateIndex,0.0024045394,0.0012039,0.51406515,0.23399009
Solv_Kappa2,0.0009787852,0.00042020803,0.50154316,0.1779881
Chrom_SlogP_VSA3,0.0028279119,0.0007721879,0.46476442,0.103324726
Chrom_fr_COO,0.022549223,0.009139653,0.4536987,0.1791633
Chrom_SlogP_VSA7,0.001902692,0.0007907306,0.4250576,0.10122786
Solv_MolWt,0.0028129972,0.0012567024,0.41065574,0.12860405
Chrom_fr_sulfide,0.00316196,0.0008779045,0.3926673,0.056363683
Solv_MinEStateIndex,0.001974055,0.0008564516,0.38076955,0.1757554
Chrom_fr_ketone,0.003026551,0.0020702702,0.3567942,0.15414575
Chrom_EState_VSA7,0.0009906526,0.00039922423,0.34012306,0.11603616
Chrom_fr_Ar_COO,0.021163214,0.012911883,0.32301086,0.15696204
Chrom_EState_VSA6,0.0011849257,0.00069849595,0.31688547,0.0680006
Chrom_fr_oxazole,0.0032797814,0.0015053435,0.302462,0.066008896
